conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;;;;;;
2015608754616910002,Mon Jan 26 13:29:31 +0000 2026,0,@fudin0123 @chitattooes Perjanjian Hudaibiyah (628 M) adalah kesepakatan bilateral antara Nabi Muhammad SAW dengan suku Quraisy untuk gencatan senjata 10 tahun memungkinkan haji meski awalnya tampak merugikan Muslim tapi membuka jalan kemenangan. Board of Peace (BoP 2026) adalah badan multilateral,2015779132005658879,,fudin0123,in,,0,1,0,https://x.com/undefined/status/2015779132005658879,1720665183188922368,;;;;;;;;;;
2015776873096388765,Mon Jan 26 13:20:32 +0000 2026,0,Board of Peace dan Kematian Operasional Teori Khilafah Taqiyudin an-Nabhani https://t.co/pGseaYZ5d0,2015776873096388765,,,in,,0,0,0,https://x.com/undefined/status/2015776873096388765,600041975,;;;;;;;;;;
2015772260444062089,Mon Jan 26 13:02:12 +0000 2026,0,Trump Duduk yang lain BERDIRI .... menunjukkan siapa TUAN siapa Budak - Board of Peace https://t.co/IG38BHSHyc,2015772260444062089,https://pbs.twimg.com/media/G_l19-cXsAEbDTn.jpg,,in,,0,0,0,https://x.com/undefined/status/2015772260444062089,351134369,;;;;;;;;;;
2015771768787751136,Mon Jan 26 13:00:15 +0000 2026,7,Dewasa ini rezim siapapun yang sedang dan sudah berkuasa selalu menarik untuk dikulik dan dikritisi setiap kebijakan yang telah dan akan diambil itu membuktikan rasa cinta pada tanah airnya. Tak tekecuali yang masih ramai bergabungnya Indonesia pada Board of Peace besutan https://t.co/uEVgl0s7IT,2015771768787751136,https://pbs.twimg.com/media/G_l1vWba4AAX-vG.jpg,,in,,0,2,7,https://x.com/undefined/status/2015771768787751136,2650421658,;;;;;;;;;;
2015767929909109053,Mon Jan 26 12:45:00 +0000 2026,9,Wacana pembentukan Board of Peace atau Dewan Perdamaian yang menjanjikan kemakmuran ekonomi bagi jalur Gaza menuai kritik tajam. Alih-alih dipandang sebagai solusi kemanusiaan proyek ini dinilai sebagai strategi penjajahan gaya baru untuk melucuti kedaulatan warga Palestina. https://t.co/SuVMPDXeT9,2015767929909109053,https://pbs.twimg.com/amplify_video_thumb/2015725366829002752/img/5x-Xux8fQ7puy41O.jpg,,in,,0,1,6,https://x.com/undefined/status/2015767929909109053,231355136,;;;;;;;;;;
2015436431829897371,Mon Jan 26 12:43:22 +0000 2026,0,@muhammadilham98 @grok Tidak. Board of Peace itu bukan lembaga resmi PBB. Tidak punya legitimasi internasional lebih-lebih kepemimpinan Trump dibayang-bayangi dengan penolakan mayoritas warga dunia. Bagi Palestina diplomasi yang sudah diperjuangkan via lembaga2 PBB adalah sandaran penting.,2015767519072813136,,muhammadilham98,in,,0,0,0,https://x.com/undefined/status/2015767519072813136,158660810,;;;;;;;;;;
2015651818848870681,Mon Jan 26 12:40:24 +0000 2026,1,@denni_sauya Emang sejak kapan pecundang perang ikut menentukan nasib? Apa Jepang &amp; Jerman ikutan board of peace PD2?,2015766771299647820,,denni_sauya,in,,0,0,1,https://x.com/undefined/status/2015766771299647820,965604462,;;;;;;;;;
2015766562096201743,Mon Jan 26 12:39:34 +0000 2026,0,Indonesia resmi bergabung sebagai anggota Board of Peace atau Dewan Perdamaian Dunia. #Menlu #Sugiono #netral #indonesia https://t.co/zTyVQpmIfA,2015766562096201743,https://pbs.twimg.com/amplify_video_thumb/2015766436367802368/img/4QykQRfTnafvNnx8.jpg,,in,,0,0,0,https://x.com/undefined/status/2015766562096201743,1986433988186284032,;;;;;;;;;;
2015764615763042367,Mon Jan 26 12:31:50 +0000 2026,0,Prabowo Gercep Setuju Gabung Board of Peace Pakar Ungkap Ada Hal yang Harus Diwaspadai https://t.co/gJjbSVa5xq lewat @tribunnews,2015764615763042367,,,in,,0,0,0,https://x.com/undefined/status/2015764615763042367,124171593,;;;;;;;;;;
2015763383057014907,Mon Jan 26 12:26:56 +0000 2026,0,Ormas yg kemarin tersinggung sama pandji kok diem aja liat mr president ikut dalam board of peace?,2015763383057014907,,,in,,0,0,0,https://x.com/undefined/status/2015763383057014907,481770821,;;;;;;;;;;
